table_name,column_name,datatype,arraysize,xtype,size,description,utype,unit,ucd,indexed,principal,std,column_index,format
ps,sy_zmagerr2,double,,,,z (Sloan) Magnitude Lower Unc,,mag,,0,0,0,288,14.7f
ps,sy_zmagstr,char,200.0,,200.0,z (Sloan) Magnitude,,mag,,0,0,0,289,200s
ps,sy_w1mag,double,,,,W1 (WISE) Magnitude,,mag,,0,0,0,290,14.7f
ps,sy_w1magerr1,double,,,,W1 (WISE) Magnitude Upper Unc,,mag,,0,0,0,291,14.7f
ps,sy_w1magerr2,double,,,,W1 (WISE) Magnitude Lower Unc,,mag,,0,0,0,292,14.7f
ps,sy_w1magstr,char,200.0,,200.0,W1 (WISE) Magnitude,,mag,,0,0,0,293,200s
ps,sy_w2mag,double,,,,W2 (WISE) Magnitude,,mag,,0,0,0,294,14.7f
ps,sy_w2magerr1,double,,,,W2 (WISE) Magnitude Upper Unc,,mag,,0,0,0,295,14.7f
ps,sy_w2magerr2,double,,,,W2 (WISE) Magnitude Lower Unc,,mag,,0,0,0,296,14.7f
ps,sy_w2magstr,char,200.0,,200.0,W2 (WISE) Magnitude,,mag,,0,0,0,297,200s
ps,sy_w3mag,double,,,,W3 (WISE) Magnitude,,mag,,0,0,0,298,14.7f
ps,sy_w3magerr1,double,,,,W3 (WISE) Magnitude Upper Unc,,mag,,0,0,0,299,14.7f
ps,sy_w3magerr2,double,,,,W3 (WISE) Magnitude Lower Unc,,mag,,0,0,0,300,14.7f
ps,sy_w3magstr,char,200.0,,200.0,W3 (WISE) Magnitude,,mag,,0,0,0,301,200s
ps,sy_w4mag,double,,,,W4 (WISE) Magnitude,,mag,,0,0,0,302,14.7f
ps,sy_w4magerr1,double,,,,W4 (WISE) Magnitude Upper Unc,,mag,,0,0,0,303,14.7f
ps,sy_w4magerr2,double,,,,W4 (WISE) Magnitude Lower Unc,,mag,,0,0,0,304,14.7f
ps,sy_w4magstr,char,200.0,,200.0,W4 (WISE) Magnitude,,mag,,0,0,0,305,200s
ps,sy_gmag,double,,,,g (Sloan) Magnitude,,mag,,0,0,0,306,14.7f
ps,sy_gmagerr1,double,,,,g (Sloan) Magnitude Upper Unc,,mag,,0,0,0,307,14.7f
ps,sy_gmagerr2,double,,,,g (Sloan) Magnitude Lower Unc,,mag,,0,0,0,308,14.7f
ps,sy_gmagstr,char,200.0,,200.0,g (Sloan) Magnitude,,mag,,0,0,0,309,200s
ps,sy_gaiamag,double,,,,Gaia Magnitude,,mag,,0,1,0,310,14.7f
ps,sy_gaiamagerr1,double,,,,Gaia Magnitude Upper Unc,,mag,,0,1,0,311,14.7f
ps,sy_gaiamagerr2,double,,,,Gaia Magnitude Lower Unc,,mag,,0,1,0,312,14.7f
ps,sy_gaiamagstr,char,200.0,,200.0,Gaia Magnitude,,mag,,0,0,0,313,200s
ps,sy_tmag,double,,,,TESS Magnitude,,mag,,0,0,0,314,14.7f
ps,sy_tmagerr1,double,,,,TESS Magnitude Upper Unc,,mag,,0,0,0,315,14.7f
ps,sy_tmagerr2,double,,,,TESS Magnitude Lower Unc,,mag,,0,0,0,316,14.7f
